ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2020-02-25 03:30:03,2020-02-25 03:30:03,0.000,81.19.104.45,217.15.20.194,443,50297,TCP,...A..S.,0,0,3,136,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:08,2020-02-25 03:30:08,0.000,23.226.231.226,217.15.20.194,56019,80,TCP,....P.S.,0,0,2,80,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:28:03,2020-02-25 03:30:09,125.800,13.94.251.244,217.15.20.194,443,58679,TCP,...A..S.,0,0,16,7397,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:21:32,2020-02-25 03:30:10,518.320,23.226.231.226,217.15.20.194,43635,80,TCP,....P.S.,0,0,3,120,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:27:17,2020-02-25 03:30:17,180.020,68.232.34.200,217.15.20.194,443,50291,TCP,...A..S.,0,0,25,11442,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:07,2020-02-25 03:30:18,11.090,92.118.38.58,217.15.20.194,38220,25,TCP,......S.,0,0,18,1027,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:21,2020-02-25 03:30:21,0.000,23.226.231.226,217.15.20.194,43228,80,TCP,....P.S.,0,0,2,80,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:28:08,2020-02-25 03:30:24,135.240,77.111.247.41,217.15.20.194,443,51353,TCP,...A..S.,0,0,15,1948,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:29:43,2020-02-25 03:30:28,45.190,77.111.247.41,217.15.20.194,443,61392,TCP,...A..S.,0,0,22,9286,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:27:33,2020-02-25 03:30:31,178.030,68.232.34.200,217.15.20.194,443,60484,TCP,...A..S.,0,0,24,11356,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:21:44,2020-02-25 03:30:31,526.530,23.226.231.226,217.15.20.194,30844,80,TCP,....P.S.,0,0,3,120,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:11,2020-02-25 03:30:32,20.230,13.232.66.4,217.15.20.194,443,50301,TCP,...A..S.,0,0,13,4216,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:28:30,2020-02-25 03:30:33,122.240,40.114.211.99,217.15.20.194,443,61137,TCP,...A..S.,0,0,17,7609,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:11,2020-02-25 03:30:33,22.060,77.74.181.18,217.15.20.194,443,50300,TCP,...A..S.,0,0,7,709,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:34,2020-02-25 03:30:34,0.000,23.226.231.226,217.15.20.194,30437,80,TCP,....P.S.,0,0,2,80,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:37,2020-02-25 03:30:37,0.000,93.92.192.5,217.15.20.194,2022,17551,TCP,...A..S.,0,0,9,2528,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:12,2020-02-25 03:30:41,29.660,77.74.181.18,217.15.20.194,443,50302,TCP,...A..S.,0,0,6,534,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
2020-02-25 03:30:47,2020-02-25 03:30:47,0.000,23.226.231.226,217.15.20.194,17646,80,TCP,....P.S.,0,0,2,80,0,0,4,1,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1969-12-31 19:00:00.000
